;Identificador;ct_clacul;ct_prepa_suelo;ct_k510h;ct_k511h;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_pqui;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
12878;12085002088660004;507;2;,75;,75;1;2; ;0;1;440,92;220,46; ;110,23;,75;1;0,113375;3;,1;3; ; ;,75;1,25454545;1,04545455
12886;12085002088660009;507;1;2;2;2;2; ;0;1;881,84;881,84; ;440,92;2;1;6;2;6;3;6;3;2;2,72727273;2,13636364
12888;12085002088660010;507;1;2,25;2,25;1;2; ;0;1;992,07;496,035; ; ;2,25;1;4,5;2;3,38;3;3,78;3;2,25;8,18181818;3,81818182
12891;12085002088660011;507;2;3;3;2;2; ;0;1; ;330,69; ;330,69;3;1;6;1;3;2; ; ;3;14,1; 
12899;12085002089790008;507;2;,7056;,7056;2;2; ;0;1; ;440,92; ; ;,7056;1;1;2;1;2; ; ;,7056;3;1,31818182
12900;12085002090140001;507;1;,1764;,1764;6;2; ;0;1;110,23; ; ; ;,1764;1;1;2;1;2; ; ;,1764;,90909091;,90909091
12901;12085002090140001;507;1;,8749;,8749;6;2; ;0;1;551,15; ; ; ;,8749;1;1,5;2;1,5;2; ; ;,8749;3,36363636;2,72727273
12902;12085002090140001;507;1;,8749;,8749;6;2; ;0;1;551,15; ; ; ;,8749;1;1,5;2;1,5;2; ; ;,8749;3,36363636;3,36363636
12903;12085002090140002;507;2;2,1168;2,1168;2;2; ;0;1;1200,0; ; ; ;2,1168;1;3;2;3;2; ; ;2,1168;9,20454545;8,69318182
12904;12085002090140003;507;2;1,4112;1,4112;2;2; ;0;1;330,69; ; ; ;1,4112;1;1;2;1;2; ; ;1,4112;6,13636364;6,13636364
12905;12085002090140003;507;2;,3528;,3528;2;2; ;0;1;110,23; ; ; ;,3528;1;,5;2;,5;2; ; ;,3528;1,84090909;1,84090909
